frame,time,ROI,BVP,BPM
1,29.609362,lower medial forehead,0.0043828300572326,112.77002716064453
1,29.609362,left lower lateral forehead,0.005291406161296598,112.77002716064453
1,29.609362,right lower lateral forehead,0.007630709345095248,111.9025650024414
1,29.609362,glabella,0.008173406929582135,112.77002716064453
1,29.609362,upper nasal dorsum,0.003892375556345497,113.63748931884766
1,29.609362,lower nasal dorsum,0.005852877402755194,112.77002716064453
1,29.609362,soft triangle,0.007006684212429665,112.77002716064453
1,29.609362,left ala,0.008672483187607327,111.9025650024414
1,29.609362,right ala,0.013404584276177066,111.9025650024414
1,29.609362,nasal tip,0.0063253987716445255,111.9025650024414
1,29.609362,left lower nasal sidewall,0.003033238397842718,111.9025650024414
1,29.609362,right lower nasal sidewall,0.005947115954891606,113.63748931884766
1,29.609362,left mid nasal sidewall,0.007192530519705379,115.3724136352539
1,29.609362,right mid nasal sidewall,0.013289217821784246,113.63748931884766
1,29.609362,philtrum,0.007447781072782277,176.9622039794922
1,29.609362,left upper lip,0.004954198024007277,84.14379119873047
1,29.609362,right upper lip,-0.0037791482383502093,110.16764068603516
1,29.609362,left nasolabial fold,0.011608286771464442,113.63748931884766
1,29.609362,right nasolabial fold,0.00880450852796998,112.77002716064453
1,29.609362,left temporal,-0.0058681048975907976,113.63748931884766
1,29.609362,right temporal,0.00525588932089309,112.77002716064453
1,29.609362,left malar,0.006513084595249181,112.77002716064453
1,29.609362,right malar,0.007467162795898376,112.77002716064453
1,29.609362,left lower cheek,-0.0012002514615639625,69.39694213867188
1,29.609362,right lower cheek,0.003795777558420736,114.50495147705078
1,29.609362,chin,0.0068809972932706975,114.50495147705078
1,29.609362,left marionette fold,-0.0015645098330042298,112.77002716064453
1,29.609362,right marionette fold,0.004708828063001209,115.3724136352539
2,59.218724,lower medial forehead,0.0032067494463711983,112.77002716064453
2,59.218724,left lower lateral forehead,0.04224886664532476,112.82079305139526
2,59.218724,right lower lateral forehead,0.0011858360820990587,111.92794794781678
2,59.218724,glabella,0.028322470524947824,112.7954101060199
2,59.218724,upper nasal dorsum,-0.016766107167244235,113.63748931884766
2,59.218724,lower nasal dorsum,-0.017206250708676697,112.7954101060199
2,59.218724,soft triangle,-0.014618823283055159,112.82079305139526
2,59.218724,left ala,-0.10574050093013876,111.95333089319213
2,59.218724,right ala,0.05507041455105463,111.92794794781678
2,59.218724,nasal tip,0.0639707549976244,111.95333089319213
2,59.218724,left lower nasal sidewall,0.13593413859101183,111.92794794781678
2,59.218724,right lower nasal sidewall,-0.09499030002596895,113.66287226422303
